CASE;LASTPAGE;TIME_RSI;Alter;KIattention;Ehrlichkeit_Rohwert;DS01;Erwerbstaetigkeit;Geschlecht;SD_Branche;SD_Branche_andere;SD_Leitung;BeruflicheBildung;SD_BeruflicheBildung_sonstiges;KIHaeufigkeit_privateNutzung;KIZeitraumPrivateNutzung;KI_beruflicheNutzung;KI_ZufriedenhMA;KI07_11a;KI12_07a;KISUWunsch;KIUFoerderung;KIWunsch_Guideline;KIWunsch_keineU;KIWunsch_Schulung;KIWunsch_Sonstiges;KIWunsch_UseCase;KIWunsch_Vernetzung;KIWunsch_Zugang;KIZweck;KIZweck_Bericht;KIZweck_Brain;KIZweck_Datenanalyse;KIZweck_Kreativ;KIZweck_Program;KIZweck_Recherche;KIZweck_Sonstiges;KIZweck_Tech;KIZweck_TechSup;KIZweck_Text;KIpos_01;KIpos_02;KIpos_04;KIpos_05;KIpos_07;KIpos_11;KIpos_12;KIpos_13;KIpos_14;KIpos_16;KIpos_17;KIpos_18;KIneg_03;KIneg_06;KIneg_08;KIneg_09;KIneg_10;KIneg_15;KIneg_19;KIneg_20;PMoffen1;PMoffen2;PMoffen3;PMoffen4;PMoffen5;PMoffen6;PMoffen7;PMoffen8;PMoffen9;PMoffen10;PMgewissen1;PMgewissen2;PMgewissen3;PMgewissen4;PMgewissen5;PMgewissen6;PMgewissen7;PMgewissen8;PMgewissen9;PMgewissen10;PMextra1;PMextra2;PMextra3;PMextra4;PMextra5;PMextra6;PMextra7;PMextra8;PMextra9;PMextra10;PMvertrag1;PMvertrag2;PMvertrag3;PMvertrag4;PMvertrag5;PMvertrag6;PMvertrag7;PMvertrag8;PMvertrag9;PMvertrag10;PMneuro1;PMneuro2;PMneuro3;PMneuro4;PMneuro5;PMneuro6;PMneuro7;PMneuro8;PMneuro9;PMneuro10;PMleistung1;PMleistung2;PMleistung3;PMleistung4;PMleistung5;PMleistung6;PMmacht1;PMmacht2;PMmacht3;PMmacht4;PMmacht5;PMmacht6;PMsicher1;PMsicher2;PMsicher3;PMsicher4;PMsicher5;PMsicher6;PMehrlich1;PMehrlich2;PMehrlich3;PMehrlich4;Offenheit;Gewissenhaftigkeit;Extraversion;Verträglichkeit;Neurotizismus;Leistungsmotiv;Machtmotiv;Sicherheitsmotiv;GAAIS_positiv;GAAIS_negativ;Offenheit_MEAN;Gewissenhaftigkeit_MEAN;Extraversion_MEAN;Verträglichkeit_MEAN;Neurotizismus_MEAN;Leistung_MEAN;Macht_MEAN;Sicherheit_MEAN;Ehrlichkeit_MEAN;GAAIS_negativ_MEAN;GAAIS_positiv_MEAN
304;13;,88;38;4;7;2;1;2;4; ;1;2; ;4;3;1;3; ; ;3; ;2;1;2;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ;2;4;4;4;4;4;4;4;4;4;4;4;2;4;3;2;2;2;3;3;2;3;2;2;2;2;2;3;2;3;3;4;3;3;3;4;2;3;3;3;3;4;3;2;2;4;3;1;3;3;4;4;4;4;4;4;3;3;4;4;2;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;3;2;2;4;4;4;4;4;3;1;2;1;3;21;31;28;38;13;7;12;23;46;21;2,33333333333333;3,1;2,8;3,8;1,3;1,16666666666667;2;3,83333333333333;1,75;2,625;3,83333333333333
450;13;1,78;24;4;7;2;1;2;8;Energie;1;4; ;2;2;1;3; ; ;2; ;1;1;2;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ;3;4;2;2;2;3;3;2;3;2;3;2;3;2;3;4;3;2;2;4;2;2;1;2;2;2;3;2;1;2;4;4;2;4;4;4;4;4;3;3;2;2;3;2;2;2;1;2;2;2;3;3;2;4;2;3;3;2;3;2;3;3;3;3;3;2;2;2;2;2;4;3;2;3;4;2;2;2;3;2;3;2;3;4;3;4;3;4;2;1;2;2;17;36;20;27;25;18;14;21;31;23;1,88888888888889;3,6;2;2,7;2,5;3;2,33333333333333;3,5;1,75;2,875;2,58333333333333
467;13;1,11;48;4;7;2;1;2;6; ;1;2; ;3;2;2;3; ; ;1; ;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;4;4;4;4;4;4;4;2;4;3;4;4;3;4;3;3;3;3;3;4;2;4;3;2;4;2;1;1;1;3;4;3;3;3;3;3;3;3;2;1;3;3;3;3;2;2;3;1;4;4;4;4;3;3;3;4;2;3;3;3;2;3;3;3;3;2;2;3;2;3;3;2;1;1;2;3;3;2;2;1;2;2;3;4;3;3;1;3;1;1;2;3;19;28;28;32;26;12;12;17;45;26;2,11111111111111;2,8;2,8;3,2;2,6;2;2;2,83333333333333;1,75;3,25;3,75
468;13;,71;35;4;7;2;1;1;6; ;1;3; ;4;3;4;4; ; ;1; ;1;2;1;1;1;1;1;5;1;2;2;1;1;2;1;1;2;2;3;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;2;3;1;3;2;3;2;3;2;2;4;4;3;3;3;1;3;4;3;2;2;2;2;2;2;2;2;1;2;2;3;3;4;4;3;3;3;3;3;3;2;2;2;2;3;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;3;2;3;3;3;3;3;3;2;1;2;2;21;30;19;32;21;14;13;18;48;31;2,33333333333333;3;1,9;3,2;2,1;2,33333333333333;2,16666666666667;3;1,75;3,875;4
626;13;,93;36;4;7;2;1;2;7; ;1;4; ;3;2;2;2; ; ;2; ;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;4;4;3;4;4;3;4;3;4;3;4;4;3;3;4;4;3;4;4;4;2;3;2;2;2;3;2;2;3;3;4;4;2;3;3;3;3;3;3;3;3;2;3;2;2;3;3;4;2;3;3;4;4;3;3;4;2;3;4;3;3;3;3;3;2;2;1;4;3;2;4;2;2;2;3;2;1;2;2;1;2;2;4;4;4;4;4;4;2;1;2;2;22;31;27;33;26;15;10;24;44;29;2,44444444444444;3,1;2,7;3,3;2,6;2,5;1,66666666666667;4;1,75;3,625;3,66666666666667
668;13;2,03;30;4;7;2;1;2;1; ;1;4; ;5;2;2;3; ;To dos;1; ;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;2;4;1;4;3;2;2;2;2;2;2;3;2;1;3;3;2;1;3;2;1;1;3;4;4;3;3;3;1;3;3;3;3;3;3;3;2;3;2;3;3;2;3;3;4;3;3;3;4;2;2;4;3;3;2;2;3;2;2;1;2;2;3;4;2;1;3;2;1;1;1;1;1;2;2;3;4;3;4;3;4;2;1;1;3;19;30;27;31;22;13;8;21;40;17;2,11111111111111;3;2,7;3,1;2,2;2,16666666666667;1,33333333333333;3,5;1,75;2,125;3,33333333333333
694;13;,94;27;4;7;2;1;1;5; ;1;4; ;5;2;5;4; ; ;1; ;1;2;1;1;1;1;1;5;2;2;1;1;2;2;1;1;2;1;4;5;3;4;5;4;5;5;5;5;5;5;4;3;4;4;4;5;4;4;4;4;2;3;4;4;3;3;3;3;3;3;3;3;2;4;3;2;2;2;4;3;3;3;3;2;4;4;3;4;4;4;4;4;4;3;4;3;4;3;2;1;2;2;3;2;1;2;2;2;2;2;2;2;2;2;4;4;2;2;3;1;3;4;3;2;2;3;1;2;1;3;29;27;33;37;19;12;16;17;55;32;3,22222222222222;2,7;3,3;3,7;1,9;2;2,66666666666667;2,83333333333333;1,75;4;4,58333333333333
705;13;1,34;25;4;7;2;1;2;4; ;1;2; ;4;3;4;3; ; ;2; ;1;1;2;1;2;1;1;4;2;1;2;1;1;1;1;1;2;2;4;4;4;4;5;5;4;5;4;2;3;4;3;1;5;2;2;3;5;3;4;4;3;4;2;4;2;1;1;1;4;3;4;4;4;3;3;3;3;3;2;3;3;2;2;1;2;1;3;2;4;4;2;4;2;4;2;2;4;3;2;2;2;3;1;2;1;2;2;2;4;3;3;3;3;2;2;2;3;2;2;2;3;3;3;3;3;3;2;2;1;2;24;34;21;31;19;18;13;18;48;24;2,66666666666667;3,4;2,1;3,1;1,9;3;2,16666666666667;3;1,75;3;4
780;13;,48;28;4;7;2;1;2;1; ;1;2; ;3;1;3;3; ; ;1; ;1;2;1;1;1;1;1;3;1;1;1;1;2;2;1;1;1;2;1;3;1;1;1;3;2;3;4;4;4;1;2;2;3;3;1;1;3;2;2;4;2;1;1;3;2;1;3;1;4;3;2;3;1;1;2;3;2;3;3;3;2;1;3;4;1;1;3;2;4;4;3;4;4;3;3;3;3;4;2;2;2;4;3;3;2;3;3;1;1;1;1;2;2;1;1;1;1;1;2;1;3;4;2;2;4;4;1;1;2;3;19;24;23;35;25;8;7;19;28;17;2,11111111111111;2,4;2,3;3,5;2,5;1,33333333333333;1,16666666666667;3,16666666666667;1,75;2,125;2,33333333333333
920;13;1,4;25;4;7;2;1;2;8;Chemiebranche;1;4; ;4;3;3;3; ; ;3; ;2;1;1;1;2;2;1;7;2;2;2;2;1;2;1;1;2;2;4;4;3;4;5;4;4;4;4;4;3;4;3;2;2;2;3;3;4;3;2;2;2;2;3;3;2;3;2;3;3;3;4;4;4;4;4;4;3;3;3;2;2;3;2;2;3;2;2;2;3;3;2;3;2;4;2;2;3;3;3;2;2;3;3;3;2;2;3;2;3;3;3;3;3;3;2;3;3;3;3;2;4;4;4;4;3;4;2;2;2;1;21;36;23;27;25;18;16;23;47;22;2,33333333333333;3,6;2,3;2,7;2,5;3;2,66666666666667;3,83333333333333;1,75;2,75;3,91666666666667
